TS,66,184
XY,77,180
BU,81,144
MB,76,194
PX,83,152
ZZ,75,163
EQ,62,178
OT,57,146
SR,46,157
TK,83,164
LK,94,183
RP,47,181
XB,94,199
MQ,58,180
IV,67,163
TM,80,165
KM,98,175
TU,58,175
GJ,59,166
IL,72,166
CK,77,173
QP,63,173
SU,92,184
IU,71,141
EX,49,181
UL,62,175
GC,85,193
TR,42,155
NI,93,192
AU,67,167
XT,61,152
DV,81,165
NO,65,180
OR,66,188
TH,61,180
NC,79,175
LM,73,151
ZW,93,155
RC,52,149
MK,58,157
PY,41,140
LT,95,197
SE,98,152
MO,41,197
MM,81,159
CN,48,157
FH,81,173
ZQ,80,180
WU,52,193
HG,98,146
DL,60,197
NY,97,164
CB,52,198
RV,75,172
EU,73,159
MS,42,174
SI,54,191
OE,43,171
GY,61,175
FH,57,196
JP,47,152
MV,59,186
NB,50,189
WH,89,169
LY,87,143
RH,98,182
BQ,68,179
RN,55,156
LN,60,151
LU,49,164
EF,54,158
NI,47,191
XA,53,197
EQ,88,187
LA,52,172
UH,84,197
SB,62,179
KT,71,140
IZ,47,167
DK,85,162
ZJ,50,156
GK,76,180
CF,77,165
CF,41,171
AI,94,145
UD,45,162
GT,86,179
CK,90,143
YF,69,151
HY,51,143
HH,90,146
WT,60,195
VW,84,164
KX,62,148
TY,93,164
KK,47,161
EA,90,155
VX,67,148
AQ,89,196
FZ,49,187
CB,93,194
TP,71,165
SL,61,142
YK,43,185
CS,83,172
SZ,62,192
XH,43,147
UD,54,157
IV,88,143
CC,71,194
DQ,96,152
EN,85,170
ME,83,166
DB,70,143
MV,56,141
LG,95,166
PU,59,185
VB,85,189
VJ,40,190
EO,68,142
BC,83,186
YE,71,167
AG,84,155
DE,55,157
VZ,62,160
BY,41,181
YO,43,154
NT,46,174
OX,93,188
XY,56,155
HM,71,161
IM,45,191
KA,66,185
UE,52,185
XS,83,155
DK,75,188
GL,99,182
JH,46,188
JC,90,186
PS,75,164
OP,49,167
QO,51,158
QW,57,195
BL,49,163
SS,62,148
LH,49,167
DO,83,156
OK,84,179
EL,75,177
RV,61,170
KN,79,163
VE,92,195
WB,78,196
YN,82,159
CF,47,199
ZU,49,146
HV,73,160
UR,69,151
CF,49,191
PP,56,188
CM,90,143
TK,93,198
KD,93,148
TD,99,148
AA,65,164
WW,53,165
ET,45,190
TD,47,169
EC,57,175
HP,65,154
NA,49,158
NB,95,149
AC,78,154
AH,75,176
OF,71,140
IJ,45,169
KZ,55,147
RT,65,194
TD,97,195
OU,72,187
JX,83,141
UC,40,158
PG,49,151
YS,55,157
DE,57,154
HD,51,190
II,52,150
FI,42,181
EM,98,153
CK,95,183
EC,78,152
IR,53,158
ZK,65,164
UI,50,165
UR,84,190
RH,44,151
UI,68,143
OK,77,173
KD,78,176
RK,99,167
NZ,73,177
PR,60,146
LI,46,157
AQ,60,186
AP,60,195
QJ,97,146
LV,53,176
UX,44,175
SS,44,197
UQ,74,187
XT,55,145
FW,48,140
MV,44,161
SY,81,176
RH,63,159
QA,87,189
RM,74,179
OT,42,178
GB,93,176
HF,80,141
YV,57,194
MX,84,183
ZZ,44,189
HX,44,145
ZX,50,171
UD,80,198
ZF,43,164
SM,84,155
FI,85,146
PH,87,166
HE,68,146
XT,89,166
NA,72,185
GD,57,188
NN,46,154
XW,97,165
PS,70,140
FR,79,159
CV,56,177
VK,50,143
MU,49,149
VT,55,143
XT,45,145
HN,54,152
LT,93,154
LD,46,172
CY,83,155
HR,53,166
KL,47,141
NB,50,194
VM,40,166
VC,80,177
NP,95,165
HB,48,158
DV,95,190
AO,79,184
PS,42,166
FH,54,169
YU,74,176
YW,78,191
PP,49,162
VZ,75,192
FN,87,148
SS,48,173
PS,40,148
KK,87,146
IO,96,158
OX,51,142
IF,45,175
UY,65,140
CA,83,181
PC,44,185
BM,68,173
XG,69,141
EI,55,167
RA,69,161
IM,56,148
RO,47,170
ZJ,53,157
MF,77,154
JN,97,181
CU,97,152
MO,49,140
GU,56,168
ZK,67,173
GP,45,187
AJ,51,178
BZ,73,196
WY,82,175
OS,92,171
NL,54,177
GI,56,145
WV,99,142
FO,42,158
IT,49,157
TM,73,174
UW,55,180
OG,55,179
AI,64,191
GW,51,171
SK,75,191
JU,79,188
FL,78,178
JI,47,163
ZZ,82,182
IW,41,143
XJ,76,152
VF,45,145
RC,64,164
GT,79,196
VN,92,161
DP,83,156
LT,91,147
ZP,62,146
ZB,85,146
FE,88,157
RW,65,192
UB,97,165
TY,96,198
VD,61,182
HD,98,185
VQ,46,176
OB,42,175
OX,85,161
DV,40,163
MD,46,172
JF,47,179
XZ,51,145
MM,93,194
IB,87,161
ZL,76,199
SA,64,174
MH,41,154
IP,93,169
WI,94,173
JI,85,144
PB,66,187
GT,52,186
DF,50,162
UG,70,180
KA,73,168
VQ,76,144
ZW,79,140
WD,51,156
XU,59,192
TR,51,159
OH,97,155
SK,71,148
FH,93,176
EY,67,191
NH,94,179
II,61,179
VZ,98,193
TC,60,158
HF,87,179
HN,85,150
KQ,56,140
RV,40,140
VO,98,154
ME,96,183
WL,62,155
YQ,91,190
PF,78,194
ZU,78,173
FT,47,162
PI,68,189
WL,95,178
ON,49,160
AI,87,181
TT,58,173
LF,87,186
YW,80,149
IX,85,168
BH,97,158
BE,86,148
AV,40,183
HM,51,181
GQ,49,160
BZ,62,182
AA,71,154
YA,46,198
LD,94,145
LU,89,195
WT,79,165
EO,54,169
BO,85,174
CK,81,164
HD,50,182
BP,98,159
HX,95,170
BY,72,175
GW,84,185
CV,85,188
GU,46,193
AP,55,175
CA,94,162
DK,77,187
GE,80,148
JK,65,187
YV,79,168
NZ,57,199
IM,65,182
LA,75,141
JL,60,140
TK,50,147
JK,69,157
TV,62,146
OB,47,153
TM,80,168
FG,55,172
OM,53,147
QK,44,172
WH,89,142
FD,92,179
LW,66,161
TL,66,191
BX,93,167
AD,65,143
XY,68,183
RN,55,169
LH,89,144
TX,91,151
XL,74,197
GT,42,160
HN,41,181
UJ,48,194
GP,97,157
YQ,50,153
EY,89,193
WV,47,180
YG,60,183
NN,43,151
KO,81,164
PN,47,176
UR,93,189
RS,97,145
RV,74,162
JG,43,169
WL,47,160
PE,61,192
PQ,54,169
BU,62,146
PF,93,174
TY,65,140
EY,50,145
CV,70,196
WK,46,144
ZI,60,153
FO,69,191
EF,87,155
EM,81,191
TP,66,199
FG,87,146
TX,98,190
YR,61,142
OI,45,193
QF,64,178
QL,99,170
DV,72,183
HG,53,195
OA,57,179
ZB,44,191
JU,40,184
IH,47,195
ZZ,95,146
KD,77,178
BK,95,173
AH,60,199
KZ,96,185
XW,96,152
UG,88,189
VM,62,142
LJ,87,169
UH,58,140
ZZ,62,170
NF,94,187
IX,76,180
CG,65,187
RY,67,147
FH,73,158
KL,89,148
ZB,79,185
GM,47,186
YS,50,185
NQ,96,173
JN,76,146
OK,74,189
FV,86,172
RL,81,157
CZ,66,142
QM,66,175
RG,99,156
UY,68,151
ZJ,94,187
HS,41,165
BI,82,163
KD,61,149
NY,79,198
YD,69,193
KH,91,174
AZ,44,143
LZ,57,173
TR,41,171
WM,97,181
ES,71,170
UY,97,192
LN,97,170
DC,72,156
QK,43,160
QO,97,150
WJ,88,160
FU,43,140
WY,96,146
VC,67,169
HD,63,152
NB,73,146
BR,87,140
SR,74,186
HL,80,197
TW,73,179
CJ,96,171
RX,83,170
WY,61,190
NT,83,199
AO,84,191
YU,72,180
RZ,94,195
ZB,92,143
KE,95,162
MT,49,151
BF,76,152
WW,81,156
ZD,95,143
RJ,43,148
CV,81,183
RE,94,177
NP,78,143
UE,66,157
ZY,53,146
HZ,61,181
GV,79,157
CK,69,176
FW,52,171
AR,70,161
DX,51,191
UI,54,170
DJ,90,176
FZ,43,188
NR,66,154
HY,53,145
IX,59,189
SO,73,187
DB,56,172
YF,67,142
RS,43,169
WB,66,194
FX,74,149
HQ,49,161
WZ,85,156
BN,47,178
KU,51,176
LQ,46,187
IW,59,174
SB,77,196
FB,82,151
QE,80,168
VS,69,151
PL,40,157
SW,44,193
VW,77,181
UO,59,183
IN,76,156
UN,93,153
YU,65,175
EY,65,157
UJ,95,140
LD,71,191
XA,64,178
SY,53,170
DA,86,146
TT,98,147
BG,71,157
TZ,97,142
WT,42,183
MG,93,146
SH,92,185
ND,48,186
FN,88,140
OU,61,184
VH,50,199
KI,80,155
TC,51,177
IS,89,165
JR,53,153
CI,95,170
NC,96,186
FM,46,176
XE,63,165
II,98,144
WX,59,190
WP,50,176
MB,42,193
YU,89,176
PX,78,169
RJ,44,178
UF,53,194
HD,90,175
CJ,56,172
NS,44,179
AB,99,157
XV,95,162
AO,60,194
AH,43,180
JS,66,191
AX,46,174
BF,86,198
AQ,91,167
IP,88,192
XO,83,183
NU,69,164
RK,56,172
NU,83,176
BU,52,193
ZI,57,186
EA,69,140
YU,43,195
ZU,85,155
RO,61,150
RX,48,162
RV,68,186
HW,62,165
SP,67,190
MT,91,193
ER,74,165
MF,78,158
OT,72,151
PL,68,179
BK,98,187
QP,93,180
LQ,93,180
XV,76,144
MU,66,194
TN,67,160
CQ,41,174
GF,94,172
MF,50,176
GP,64,155
CD,41,188
QP,85,197
PV,67,143
RQ,60,169
MG,90,154
KQ,98,142
HC,76,167
RO,82,169
BJ,55,150
QS,55,158
CV,67,150
UQ,48,173
SM,97,176
XK,49,176
SY,54,158
IZ,85,188
QG,44,170
GB,77,188
YT,53,172
VF,49,159
FC,54,146
QW,87,147
TR,95,145
LY,98,140
VK,72,171
XK,54,171
VT,75,197
PN,65,159
NQ,41,141
ST,98,192
SA,93,151
WY,40,189
EC,94,179
KY,70,149
MN,92,178
HJ,95,192
AY,52,148
BT,49,154
EN,81,176
PN,98,198
QO,80,155
EG,96,181
OM,74,172
BE,56,158
RX,95,147
BU,84,192
BY,66,196
XF,71,145
OA,50,171
KL,59,192
KR,54,143
LJ,89,142
GF,59,175
OR,42,194
PF,89,153
KE,49,170
EI,70,162
UY,48,165
FU,95,164
TR,44,142
HE,78,162
WY,99,153
NS,92,153
NO,75,147
UK,87,192
BU,98,196
DT,54,183
NE,94,196
RS,97,155
KF,97,157
OO,45,147
YD,83,143
SO,68,162
RC,94,177
GT,96,189
IP,94,172
JH,61,141
BY,58,190
BO,88,158
FB,93,141
BA,40,165
RX,48,185
SM,56,184
RH,90,190
ZT,49,178
